Bodlaender, HL (Bodlaender, HL)
Thilikos, DM (Thilikos, DM)
Wang, CY (Wang, CY)
Gorbar, EV (Gorbar, EV)
Vu, HX (Vu, HX)
Bezzerides, B (Bezzerides, B)
DuBois, DF (DuBois, DF)
Imajo, T (Imajo, T)
Wang, DB (Wang, DB)
Tanaka, K (Tanaka, K)
Tanaka, T (Tanaka, T)
Broer, HW (Broer, HW)
Hoveijn, I (Hoveijn, I)
van Noort, M (van Noort, M)
Vegter, G (Vegter, G)
Wahab, MMA (Wahab, MMA)
De Roeck, G (De Roeck, G)
Peeters, B (Peeters, B)
Takano, H (Takano, H)
Wong, SS (Wong, SS)
Harnisch, JA (Harnisch, JA)
Porter, MD (Porter, MD)
Sklar, A (Sklar, A)
Smital, J (Smital, J)
Dai, DG (Dai, DG)
Roszak, S (Roszak, S)
Balasubramanian, K (Balasubramanian, K)
Goel, V (Goel, V)
Byrne, WJ (Byrne, WJ)
Guichemerre, M (Guichemerre, M)
Chambaud, G (Chambaud, G)
Xie, HM (Xie, HM)
Dietz, P (Dietz, P)
Schmidt, A (Schmidt, A)
Kishimoto, S (Kishimoto, S)
Shinya, N (Shinya, N)
Dai, FL (Dai, FL)
Nahar, SN (Nahar, SN)
Broggi, A (Broggi, A)
Bertozzi, M (Bertozzi, M)
Fascioli, A (Fascioli, A)
LaFollete, P (LaFollete, P)
Korsh, J (Korsh, J)
Sangwan, R (Sangwan, R)
Murty, VK (Murty, VK)
Prasad, D (Prasad, D)
Iwaki, LK (Iwaki, LK)
Dlott, DD (Dlott, DD)
Burr, KP (Burr, KP)
Triantafyllou, MS (Triantafyllou, MS)
Yue, DKP (Yue, DKP)
Thorup, M (Thorup, M)
