id	x	y	cluster	weight<Links>	weight<Total link strength>	label
100	-0.557	0.2447	7	6	12	分类器
101	-0.5569	0.2449	7	6	12	监督学习
102	0.9116	0.0153	4	15	30	车辆检测
103	0.7122	0.0162	4	5	10	车辆模型
104	0.7269	0.0181	4	9	20	图像似然概率
105	0.7123	0.016	4	5	10	复杂交通场景
106	0.8706	0.0181	4	5	10	多尺度模型建模
107	0.8706	0.0179	4	5	10	多尺度模型学习
108	0.81	0.0187	4	10	20	混合图像模板
109	0.8704	0.018	4	5	10	模板匹配
110	0.8705	0.0181	4	5	10	多尺度模型
111	0.7375	0.0196	4	5	10	消息映射法
112	0.7375	0.0194	4	5	10	车辆定位
113	0.7376	0.0195	4	5	10	车辆轮廓
114	-0.7791	0.0566	14	5	10	现场检测设备
115	-0.779	0.0568	14	5	10	中心管理单元
116	-0.779	0.0567	14	5	10	视频检测
117	-0.7792	0.0568	14	5	10	手机信令分析
118	-0.6873	-0.0063	15	6	12	车辆位置
119	-0.6876	-0.006	15	6	12	车辆姿态
120	-0.6876	-0.0062	15	6	12	三维轮廓
121	-0.6873	-0.006	15	6	12	交通监控系统
122	-0.5516	-0.0036	18	5	10	行驶速度
123	-0.5516	-0.0034	18	5	10	前景图像拼接
124	-0.5514	-0.0035	18	5	10	智能火车视频监控系统
125	-0.6218	0.0354	3	8	22	嵌入式系统
126	-0.6167	0.0291	3	10	32	出租车识别
127	-0.6235	0.034	3	6	12	视频图像
128	-0.6234	0.0338	3	6	12	特征提取
129	-0.612	0.0278	3	5	10	图像标定
130	-0.612	0.0277	3	5	10	出租车监控
131	-0.6143	0.0252	3	5	10	模式分类器设计
132	-0.6141	0.0252	3	5	10	出租车跟踪
133	0.3494	-0.0149	2	6	12	路口机装置
134	0.5842	-0.0129	2	11	22	无线模块
135	0.2408	-0.0152	2	10	22	视频采集
136	0.3492	-0.015	2	6	12	车辆抓拍
137	0.3494	-0.0151	2	6	12	图像识别
138	0.1117	-0.0154	2	5	10	交通控制中心
139	0.1117	-0.0155	2	5	10	车辆监控
140	-0.604	-0.0557	19	5	10	车辆超速违章
141	-0.6042	-0.0557	19	5	10	违章取证单元
142	-0.604	-0.0555	19	5	10	限速提示牌
143	-0.6573	-0.1027	16	6	12	判别性特征定位
144	-0.6575	-0.1026	16	6	12	卡尔曼滤波器
145	-0.6573	-0.1024	16	6	12	车辆跟踪
146	-0.6575	-0.1024	16	6	12	交通监控
147	-0.0539	-0.0153	2	5	10	图像预处理
148	-0.054	-0.0151	2	5	10	车牌粗定位
149	-0.0541	-0.0153	2	5	10	候选区域
150	-0.4404	0.1166	17	5	10	字符组合
151	-0.4403	0.1166	17	5	10	车牌定位和识别
152	-0.4402	0.1164	17	5	10	字符排列方式
153	-0.4404	0.1164	17	5	10	字符区域分割
154	-0.8412	0.4882	9	5	10	车辆部位特征
155	-0.8412	0.4884	9	5	10	车辆检测与跟踪
156	-0.8411	0.4884	9	5	10	车牌定位
157	-0.841	0.4883	9	5	10	车辆建模
158	-0.8411	0.4882	9	5	10	运动轨迹获取
159	-0.561	-0.077	20	5	10	行人检测和计数
160	-0.5611	-0.0772	20	5	10	个体检测
161	-0.5609	-0.0772	20	5	10	行人目标
162	-0.6202	0.0368	3	5	10	长短周期混合高斯模型
163	-0.6201	0.0367	3	5	10	目标物区域
164	-0.4959	-0.2324	10	6	12	动态耦合条件随机场
165	-0.4959	-0.2326	10	6	12	密集光流
166	-0.4961	-0.2324	10	6	12	运动模型
167	-0.496	-0.2327	10	6	12	外观模型
168	-0.4962	-0.2326	10	6	12	智能视频监控
169	1.5238	-0.0026	1	25	100	代理
170	1.5726	-0.0051	1	5	10	信号灯
171	1.5726	-0.0053	1	5	10	路口机
172	1.511	-0.002	1	22	90	网络化控制
173	1.5207	-0.0049	1	18	70	云计算
174	1.5399	-0.0011	1	29	110	当地简单，远程复杂
175	1.5514	0.0061	5	13	40	分层递阶
176	1.322	0.0071	5	5	10	行人检测
177	1.0685	-0.0084	2	5	10	单片机
178	1.5799	0.0054	5	5	10	实时监测
179	1.58	0.0053	5	5	10	故障分析
180	1.5751	-0.008	1	5	10	远程故障检测
