id	x	y	cluster	weight<Links>	weight<Total link strength>
100	-0.557	0.2447	7	6	12
101	-0.5569	0.2449	7	6	12
102	0.9116	0.0153	4	15	30
103	0.7122	0.0162	4	5	10
104	0.7269	0.0181	4	9	20
105	0.7123	0.016	4	5	10
106	0.8706	0.0181	4	5	10
107	0.8706	0.0179	4	5	10
108	0.81	0.0187	4	10	20
109	0.8704	0.018	4	5	10
110	0.8705	0.0181	4	5	10
111	0.7375	0.0196	4	5	10
112	0.7375	0.0194	4	5	10
113	0.7376	0.0195	4	5	10
114	-0.7791	0.0566	14	5	10
115	-0.779	0.0568	14	5	10
116	-0.779	0.0567	14	5	10
117	-0.7792	0.0568	14	5	10
118	-0.6873	-0.0063	15	6	12
119	-0.6876	-0.006	15	6	12
120	-0.6876	-0.0062	15	6	12
121	-0.6873	-0.006	15	6	12
122	-0.5516	-0.0036	18	5	10
123	-0.5516	-0.0034	18	5	10
124	-0.5514	-0.0035	18	5	10
125	-0.6218	0.0354	3	8	22
126	-0.6167	0.0291	3	10	32
127	-0.6235	0.034	3	6	12
128	-0.6234	0.0338	3	6	12
129	-0.612	0.0278	3	5	10
130	-0.612	0.0277	3	5	10
131	-0.6143	0.0252	3	5	10
132	-0.6141	0.0252	3	5	10
133	0.3494	-0.0149	2	6	12
134	0.5842	-0.0129	2	11	22
135	0.2408	-0.0152	2	10	22
136	0.3492	-0.015	2	6	12
137	0.3494	-0.0151	2	6	12
138	0.1117	-0.0154	2	5	10
139	0.1117	-0.0155	2	5	10
140	-0.604	-0.0557	19	5	10
141	-0.6042	-0.0557	19	5	10
142	-0.604	-0.0555	19	5	10
143	-0.6573	-0.1027	16	6	12
144	-0.6575	-0.1026	16	6	12
145	-0.6573	-0.1024	16	6	12
146	-0.6575	-0.1024	16	6	12
147	-0.0539	-0.0153	2	5	10
148	-0.054	-0.0151	2	5	10
149	-0.0541	-0.0153	2	5	10
150	-0.4404	0.1166	17	5	10
151	-0.4403	0.1166	17	5	10
152	-0.4402	0.1164	17	5	10
153	-0.4404	0.1164	17	5	10
154	-0.8412	0.4882	9	5	10
155	-0.8412	0.4884	9	5	10
156	-0.8411	0.4884	9	5	10
157	-0.841	0.4883	9	5	10
158	-0.8411	0.4882	9	5	10
159	-0.561	-0.077	20	5	10
160	-0.5611	-0.0772	20	5	10
161	-0.5609	-0.0772	20	5	10
162	-0.6202	0.0368	3	5	10
163	-0.6201	0.0367	3	5	10
164	-0.4959	-0.2324	10	6	12
165	-0.4959	-0.2326	10	6	12
166	-0.4961	-0.2324	10	6	12
167	-0.496	-0.2327	10	6	12
168	-0.4962	-0.2326	10	6	12
169	1.5238	-0.0026	1	25	100
170	1.5726	-0.0051	1	5	10
171	1.5726	-0.0053	1	5	10
172	1.511	-0.002	1	22	90
173	1.5207	-0.0049	1	18	70
174	1.5399	-0.0011	1	29	110
175	1.5514	0.0061	5	13	40
176	1.322	0.0071	5	5	10
177	1.0685	-0.0084	2	5	10
178	1.5799	0.0054	5	5	10
179	1.58	0.0053	5	5	10
180	1.5751	-0.008	1	5	10
181	1.575	-0.008	1	5	10
182	1.6316	0.0077	5	5	10
183	1.6316	0.0075	5	5	10
184	1.6315	0.0077	5	5	10
185	1.6315	0.0075	5	5	10
186	1.6048	-0.0064	1	5	10
187	1.6046	-0.0063	1	5	10
188	1.6046	-0.0065	1	5	10
189	1.574	-0.0015	1	5	10
190	1.5741	-0.0014	1	5	10
191	1.5767	-0.0043	1	5	10
192	1.5767	-0.0045	1	5	10
193	1.6141	-0.0033	1	5	10
194	1.614	-0.0031	1	5	10
195	1.614	-0.0033	1	5	10
196	1.5637	0.0015	1	5	10
54	-0.4116	0.0284	3	86	252
55	0.2567	-0.0144	2	10	22
56	0.0582	-0.0148	2	13	30
57	0.1305	-0.0137	2	5	10
58	0.1305	-0.0136	2	5	10
59	-0.468	-0.0295	3	94	278
60	0.0481	-0.0138	8	10	22
61	-0.0061	-0.0125	8	6	12
62	-0.0059	-0.0125	8	6	12
63	-0.0059	-0.0123	8	6	12
64	-0.0061	-0.0123	8	6	12
65	-0.5879	-0.0845	21	5	10
66	-0.5878	-0.0847	21	5	10
67	-0.6516	-0.0429	3	68	210
68	-0.5877	-0.0845	21	5	10
69	-0.551	-0.0416	11	5	10
70	-0.551	-0.0418	11	5	10
71	-0.5499	-0.0417	11	7	20
72	-0.5931	-0.0249	22	5	10
73	-0.5929	-0.0248	22	5	10
74	-0.593	-0.025	22	5	10
75	-0.5488	-0.0419	11	5	10
76	-0.5488	-0.0417	11	5	10
77	-0.9238	-0.1664	12	6	12
78	-0.9237	-0.1667	12	6	12
79	-0.9236	-0.1666	12	6	12
80	-0.9236	-0.1664	12	6	12
81	-0.9239	-0.1666	12	6	12
82	-0.945	-0.0623	13	6	12
83	-0.9448	-0.0625	13	6	12
84	-0.945	-0.0625	13	6	12
85	-0.9447	-0.0623	13	6	12
86	-0.9449	-0.0622	13	6	12
87	-0.819	-0.132	6	8	20
88	-0.8196	-0.1306	6	5	10
89	-0.8195	-0.1304	6	5	10
90	-0.8194	-0.1306	6	5	10
91	-0.8184	-0.1336	6	5	10
92	-0.8186	-0.1335	6	5	10
93	-0.8184	-0.1334	6	5	10
94	-0.5629	0.0236	23	5	10
95	-0.5627	0.0235	23	5	10
96	-0.5627	0.0237	23	5	10
97	-0.5569	0.2445	7	6	12
98	-0.5567	0.2448	7	6	12
99	-0.5567	0.2446	7	6	12
