id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1	-0.6531	0.2299	2	23	486	ZL201110443495.1
10	-0.8983	0.1366	2	22	458	ZL201410817069.3
11	-0.6631	0.6504	2	21	430	ZL201310741928.0
12	-1.0533	0.2679	2	19	374	ZL201110325918.X
13	-0.7978	0.3713	2	24	940	ZL201510518249.6
14	-0.733	0.6057	2	20	402	ZL201310379503.X
15	-0.5368	0.2159	2	25	542	ZL201310379404.1
16	-0.5841	0.4644	2	23	486	ZL200510116715.4
17	-0.7169	0.6632	2	22	458	ZL200510116716.9
18	-0.5488	0.4657	2	22	458	ZL200710119868.3
19	1.0058	-0.1244	1	31	502	ZL200520114675.5
2	-0.9612	0.498	2	20	402	ZL201210269042.6
20	0.5942	-0.2096	1	34	586	ZL201220468489.1
21	0.5667	0.4202	1	34	586	ZL201420074554.1
22	0.2616	-0.1037	1	36	642	ZL201420568492.X
23	0.4762	-0.1601	1	34	586	ZL200810102317.0
24	0.6599	0.1388	1	36	1492	ZL201410512888.7
25	0.8587	0.3049	1	32	530	ZL200710177404.8
26	0.4471	0.296	1	34	586	ZL201310740985.7
27	0.6932	0.3193	1	33	558	ZL201410495382.X
28	0.3572	0.1499	1	35	614	ZL201410328251.2
29	0.2901	0.0917	1	36	642	ZL200610011727.5
3	-0.7259	0.2796	2	23	486	ZL201210177206.2
30	0.529	-0.1429	1	35	614	ZL201310049726.X
31	0.942	0.0059	1	32	530	ZL201310379473.2
32	1.1512	0.1228	1	30	474	ZL201310379385.2
33	0.8194	-0.1101	1	32	530	ZL201310268913.7
34	0.4292	0.1553	1	35	614	ZL201410361120.4
35	0.8918	-0.1838	1	33	558	ZL201010264672.5
36	0.261	0.0323	1	35	614	ZL201310049861.4
37	0.6152	0.0911	1	34	586	ZL201310746005.4
38	0.7288	-0.0283	1	33	558	ZL201310704057.5
39	0.5668	0.3644	1	33	558	ZL201310032257.0
4	-1.1102	0.3585	2	20	402	ZL201410064895.5
40	0.7269	0.1106	1	33	558	ZL200510086976.6
41	0.7067	0.4304	1	33	558	ZL200510086977.0
42	0.5012	-0.0542	1	34	586	ZL200910243732.2
43	0.4857	0.1098	1	34	586	ZL201310700175.9
44	0.8482	0.1037	1	34	1496	ZL201410374155.1
45	0.9833	0.2525	1	31	502	ZL201210339564.9
46	0.7585	-0.0885	1	38	1788	ZL201210340153.1
47	0.4073	-0.0257	1	34	586	ZL201310745952.1
48	0.7895	0.0056	1	32	530	ZL201310745099.3
49	0.3441	-0.2367	1	35	614	ZL201510182218.8
5	-0.8472	0.4452	2	24	1030	ZL201310037281.3
50	-0.404	-0.6623	3	19	410	ZL200520114676.X
51	-0.5979	-0.9151	3	15	298	ZL200720187279.4
52	-0.4261	-0.6135	3	20	438	ZL200510086978.5
53	-0.5339	-0.4938	3	19	410	ZL200810102798.5
54	-0.3406	-0.9459	3	17	354	ZL200810104763.5
55	-0.1815	-0.747	3	19	410	ZL201010603083.5
56	-0.6084	-0.7467	3	16	326	ZL201010034104.6
57	-0.709	-0.7843	3	16	326	ZL201210568417.9
58	-0.5203	-0.6228	3	23	862	ZL201310058330.1
59	-0.4597	-0.7408	3	25	1098	ZL201410373407.9
6	-0.5476	0.667	2	22	458	ZL201410293589.9
60	-0.4738	-0.6794	3	17	354	ZL201410360312.3
61	-0.4316	-0.4835	3	21	466	ZL201410398861.X
62	-0.3383	-0.5993	3	19	410	ZL201410336212.7
63	-0.1508	-0.8171	3	17	354	ZL201510345977.1
7	-0.6852	0.351	2	22	458	ZL201310036927.6
8	-0.5884	0.6187	2	22	458	ZL201310586992.6
9	-0.8693	0.5255	2	22	884	ZL201410065242.9
