id	x	y	cluster	weight<Links>	weight<Total link strength>
1	-0.6531	0.2299	2	23	486
10	-0.8983	0.1366	2	22	458
11	-0.6631	0.6504	2	21	430
12	-1.0533	0.2679	2	19	374
13	-0.7978	0.3713	2	24	940
14	-0.733	0.6057	2	20	402
15	-0.5368	0.2159	2	25	542
16	-0.5841	0.4644	2	23	486
17	-0.7169	0.6632	2	22	458
18	-0.5488	0.4657	2	22	458
19	1.0058	-0.1244	1	31	502
2	-0.9612	0.498	2	20	402
20	0.5942	-0.2096	1	34	586
21	0.5667	0.4202	1	34	586
22	0.2616	-0.1037	1	36	642
23	0.4762	-0.1601	1	34	586
24	0.6599	0.1388	1	36	1492
25	0.8587	0.3049	1	32	530
26	0.4471	0.296	1	34	586
27	0.6932	0.3193	1	33	558
28	0.3572	0.1499	1	35	614
29	0.2901	0.0917	1	36	642
3	-0.7259	0.2796	2	23	486
30	0.529	-0.1429	1	35	614
31	0.942	0.0059	1	32	530
32	1.1512	0.1228	1	30	474
33	0.8194	-0.1101	1	32	530
34	0.4292	0.1553	1	35	614
35	0.8918	-0.1838	1	33	558
36	0.261	0.0323	1	35	614
37	0.6152	0.0911	1	34	586
38	0.7288	-0.0283	1	33	558
39	0.5668	0.3644	1	33	558
4	-1.1102	0.3585	2	20	402
40	0.7269	0.1106	1	33	558
41	0.7067	0.4304	1	33	558
42	0.5012	-0.0542	1	34	586
43	0.4857	0.1098	1	34	586
44	0.8482	0.1037	1	34	1496
45	0.9833	0.2525	1	31	502
46	0.7585	-0.0885	1	38	1788
47	0.4073	-0.0257	1	34	586
48	0.7895	0.0056	1	32	530
49	0.3441	-0.2367	1	35	614
5	-0.8472	0.4452	2	24	1030
50	-0.404	-0.6623	3	19	410
51	-0.5979	-0.9151	3	15	298
52	-0.4261	-0.6135	3	20	438
53	-0.5339	-0.4938	3	19	410
54	-0.3406	-0.9459	3	17	354
55	-0.1815	-0.747	3	19	410
56	-0.6084	-0.7467	3	16	326
57	-0.709	-0.7843	3	16	326
58	-0.5203	-0.6228	3	23	862
59	-0.4597	-0.7408	3	25	1098
6	-0.5476	0.667	2	22	458
60	-0.4738	-0.6794	3	17	354
61	-0.4316	-0.4835	3	21	466
62	-0.3383	-0.5993	3	19	410
63	-0.1508	-0.8171	3	17	354
7	-0.6852	0.351	2	22	458
8	-0.5884	0.6187	2	22	458
9	-0.8693	0.5255	2	22	884
