id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1	0.4263	-0.3205	2	32	579	ZL201110443495.1
10	0.6169	-0.2033	2	26	491	ZL201410817069.3
11	0.9646	-0.377	2	24	538	ZL201310741928.0
12	0.9173	-0.5363	2	22	389	ZL201110325918.X
13	0.7342	-0.3565	2	30	609	ZL201410398861.X
14	0.9145	-0.2561	2	25	714	ZL201410336212.7
15	0.911	-0.5977	2	24	461	ZL201510345977.1
16	-0.1253	-0.3056	1	41	976	ZL200520114675.5
17	-0.6121	-0.3107	1	39	1039	ZL201220468489.1
18	-0.341	-0.0798	1	42	1082	ZL201420074554.1
19	-0.3998	0.1718	1	38	1038	ZL201420568492.X
2	0.7376	-0.572	2	25	503	ZL201210269042.6
20	-0.1696	-0.062	1	39	848	ZL200810102317.0
21	-0.4319	-0.2388	1	38	876	ZL201410512888.7
22	-0.4709	0.0689	1	36	1000	ZL200710177404.8
23	-0.8188	0.0014	1	38	1040	ZL201310740985.7
24	-0.5792	-0.1893	1	38	911	ZL201410495382.X
25	-0.3554	0.4158	1	41	962	ZL201410328251.2
26	-0.6373	0.2738	1	36	881	ZL200610011727.5
27	-0.2358	0.122	1	41	1107	ZL201310049726.X
28	-0.6407	-0.4011	1	37	1013	ZL201310379473.2
29	-0.386	-0.379	1	39	808	ZL201310379385.2
3	0.7264	-0.616	2	26	493	ZL201210177206.2
30	-0.958	-0.3118	1	32	661	ZL201310268913.7
31	-0.0704	0.2117	1	39	865	ZL201410361120.4
32	-0.2367	0.0535	1	39	988	ZL201010264672.5
33	-0.8778	0.3359	1	36	939	ZL201310049861.4
34	-0.7272	0.3038	1	36	785	ZL201310746005.4
35	-0.0949	-0.1436	1	40	937	ZL201310704057.5
36	-0.7593	-0.4006	1	35	832	ZL201310032257.0
37	-0.7815	0.1872	1	34	810	ZL200510086976.6
38	-0.8521	0.1437	1	35	1026	ZL200510086977.0
39	-0.9428	0.0299	1	36	815	ZL200910243732.2
4	0.6579	-0.5793	2	30	714	ZL201410064895.5
40	-0.8463	-0.2148	1	34	817	ZL201310700175.9
41	-0.7936	-0.1137	1	36	852	ZL201410374155.1
42	-1.0242	-0.0933	1	33	794	ZL201210339564.9
43	-1.0949	0.2028	1	33	793	ZL201210340153.1
44	-0.5763	0.0155	1	37	1039	ZL201310745952.1
45	-0.2399	-0.2895	1	40	953	ZL201310745099.3
46	-1.0927	0.0454	1	34	726	ZL201510182218.8
47	0.4983	0.6145	3	28	536	ZL200520114676.X
48	0.4461	0.7158	3	26	597	ZL200720187279.4
49	0.5187	0.4915	3	21	562	ZL200510086978.5
5	0.8278	-0.2815	2	25	607	ZL201310037281.3
50	0.5559	0.7363	3	29	642	ZL200810102798.5
51	0.6029	0.5037	3	23	452	ZL200810104763.5
52	0.5493	0.6364	3	23	524	ZL201010603083.5
53	0.5928	0.6789	3	21	380	ZL201010034104.6
54	0.6819	0.6091	3	21	450	ZL201210568417.9
55	0.5368	0.4213	3	30	592	ZL201310058330.1
56	0.8162	0.7544	3	18	381	ZL201410373407.9
57	0.841	0.9268	3	9	265	ZL201410360312.3
6	0.6996	-0.4603	2	24	548	ZL201410293589.9
7	0.874	-0.4596	2	24	590	ZL201310036927.6
8	0.6863	-0.3895	2	26	566	ZL201310586992.6
9	0.8381	-0.1326	2	28	548	ZL201410065242.9
