id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1	-0.3647	0.3516	2	14	32	ZL201110443495.1
10	-0.1445	0.4992	2	14	30	ZL201410817069.3
11	-0.5948	-0.3514	2	14	34	ZL201310741928.0
12	0.6744	-0.4947	1	13	27	ZL201110325918.X
13	-0.6642	-0.105	2	14	34	ZL201410398861.X
14	-0.1458	-0.5478	1	14	28	ZL201410336212.7
15	-0.6924	0.4208	2	14	21	ZL201510345977.1
2	0.0996	-0.4448	1	14	33	ZL201210269042.6
3	-0.1792	0.0532	2	14	30	ZL201210177206.2
4	-1.3998	-0.1556	2	8	10	ZL201410064895.5
5	0.8328	-0.2985	1	13	27	ZL201310037281.3
6	0.6979	0.3767	1	13	24	ZL201410293589.9
7	0.421	0.6221	1	13	13	ZL201310036927.6
8	0.9208	-0.0347	1	13	27	ZL201310586992.6
9	0.5389	0.1087	1	13	24	ZL201410065242.9
