id	x	y	cluster	weight<Links>	weight<Total link strength>
1	0.4263	-0.3205	2	32	579
10	0.6169	-0.2033	2	26	491
11	0.9646	-0.377	2	24	538
12	0.9173	-0.5363	2	22	389
13	0.7342	-0.3565	2	30	609
14	0.9145	-0.2561	2	25	714
15	0.911	-0.5977	2	24	461
16	-0.1253	-0.3056	1	41	976
17	-0.6121	-0.3107	1	39	1039
18	-0.341	-0.0798	1	42	1082
19	-0.3998	0.1718	1	38	1038
2	0.7376	-0.572	2	25	503
20	-0.1696	-0.062	1	39	848
21	-0.4319	-0.2388	1	38	876
22	-0.4709	0.0689	1	36	1000
23	-0.8188	0.0014	1	38	1040
24	-0.5792	-0.1893	1	38	911
25	-0.3554	0.4158	1	41	962
26	-0.6373	0.2738	1	36	881
27	-0.2358	0.122	1	41	1107
28	-0.6407	-0.4011	1	37	1013
29	-0.386	-0.379	1	39	808
3	0.7264	-0.616	2	26	493
30	-0.958	-0.3118	1	32	661
31	-0.0704	0.2117	1	39	865
32	-0.2367	0.0535	1	39	988
33	-0.8778	0.3359	1	36	939
34	-0.7272	0.3038	1	36	785
35	-0.0949	-0.1436	1	40	937
36	-0.7593	-0.4006	1	35	832
37	-0.7815	0.1872	1	34	810
38	-0.8521	0.1437	1	35	1026
39	-0.9428	0.0299	1	36	815
4	0.6579	-0.5793	2	30	714
40	-0.8463	-0.2148	1	34	817
41	-0.7936	-0.1137	1	36	852
42	-1.0242	-0.0933	1	33	794
43	-1.0949	0.2028	1	33	793
44	-0.5763	0.0155	1	37	1039
45	-0.2399	-0.2895	1	40	953
46	-1.0927	0.0454	1	34	726
47	0.4983	0.6145	3	28	536
48	0.4461	0.7158	3	26	597
49	0.5187	0.4915	3	21	562
5	0.8278	-0.2815	2	25	607
50	0.5559	0.7363	3	29	642
51	0.6029	0.5037	3	23	452
52	0.5493	0.6364	3	23	524
53	0.5928	0.6789	3	21	380
54	0.6819	0.6091	3	21	450
55	0.5368	0.4213	3	30	592
56	0.8162	0.7544	3	18	381
57	0.841	0.9268	3	9	265
6	0.6996	-0.4603	2	24	548
7	0.874	-0.4596	2	24	590
8	0.6863	-0.3895	2	26	566
9	0.8381	-0.1326	2	28	548
