id	x	y	cluster	weight<Links>	weight<Total link strength>
1	0.0061	-0.6283	2	29	51
10	-1.0224	0.1073	1	27	45
11	0.161	0.0713	1	29	67
12	0.3978	-0.356	2	29	48
13	1.1513	-0.1248	3	30	50
14	1.9502	-0.1046	3	2	2
15	1.5379	-0.0466	3	24	25
16	0.3846	0.6791	1	27	42
17	-0.3207	-0.3188	1	29	67
18	-0.1849	0.0352	1	29	67
19	-0.2546	0.6556	1	29	70
2	0.172	-0.599	2	29	49
20	-0.0919	0.6235	1	29	69
21	-0.3945	0.5398	1	29	69
22	-0.7262	-0.6855	2	25	27
23	-0.5601	-0.7338	2	26	29
24	0.0066	-0.1195	1	29	67
25	-0.3914	-0.1173	1	29	67
26	0.424	0.379	1	28	44
27	0.3342	-0.4792	2	29	48
28	0.8924	0.1904	3	23	23
29	-0.1391	-0.3154	1	29	67
3	-0.1577	0.2957	1	29	67
30	0.0419	0.4921	1	29	68
31	0.433	-0.208	2	29	48
4	-0.4417	0.3424	1	29	68
5	0.1148	0.2683	1	29	67
6	-0.445	0.142	1	29	68
7	-0.9446	-0.1914	1	27	44
8	-0.9545	-0.0432	1	27	44
9	-0.9786	0.2498	1	27	45
